date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,675.6583251953125,1.2259196685236766,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.0007423635401440915,0,0,0,-0.01,0.0,684.9564819335938,1.742660535135201,-0.009257636459855908,410.6092529296875,14.0,10000.0
2023-01-30,0,-0.004652549632880411,0,0,0,0.0,0.0,685.4869384765625,1.3765453671306656,-0.004652549632880411,410.6092529296875,14.0,10007.426391601562
2023-01-31,2,0.0,0,0,0,-0.01,0.0,682.1689453125,0.39952570508790686,-0.01,9960.974487304688,0.0,9960.974487304688
2023-02-01,0,0.0,0,0,0,0.0,0.0,692.2965698242188,0.5195155493204862,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-02,0,0.0,0,0,0,0.0,-2.0,702.3277587890625,1.004191490438334,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-03,0,0.0,0,0,0,0.0,0.0,686.59619140625,-0.6888413111051968,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-06,0,0.0,0,0,0,0.0,0.0,688.197265625,-1.38089249915636,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-07,0,0.0,0,0,0,0.0,2.0,694.8043212890625,-1.1293201042003815,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-08,0,0.0,0,0,0,0.0,0.0,716.1688842773438,0.7070762553186896,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-09,0,0.0,0,0,0,0.0,0.0,727.5504150390625,1.9286184728490987,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-10,0,0.0,0,0,0,0.0,-2.0,720.489990234375,1.0926901959457673,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-13,0,0.0,0,0,0,0.0,0.0,704.5654907226562,-1.1265353460461718,0.0,9960.974487304688,0.0,9960.974487304688
2023-02-14,0,0.0,0,0,0,0.0,0.0,714.2494506835938,-1.2419528868151524,0.0,9960.974487304688,0.0,9960.974487304688
