date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-12-21,0,0.006645277186481389,0,0,0,0.0,0.0,32.55132293701172,-0.03617877059459618,0.006645277186481389,5.90680885315669,367.0,11952.242326736457
2023-12-22,0,0.006900397890877609,0,0,0,0.0,0.0,32.768463134765625,-0.06948298960359012,0.006900397890877609,5.90680885315669,367.0,12031.932779312141
2023-12-26,0,0.012774627966505204,0,0,0,0.0,0.0,32.9954719543457,-0.06951420453362966,0.012774627966505204,5.90680885315669,367.0,12115.24501609803
2023-12-27,0,-0.0005907021082813086,0,0,0,0.0,0.0,33.41988754272461,-0.03926157135371933,-0.0005907021082813086,5.90680885315669,367.0,12271.005537033088
2023-12-28,0,0.001180827449038979,0,0,0,0.0,0.0,33.400142669677734,-0.04074727668216527,0.001180827449038979,5.90680885315669,367.0,12263.759168624885
2023-12-29,0,-0.0062146714428383265,0,0,0,0.0,0.0,33.43962478637695,-0.04788328217348514,-0.0062146714428383265,5.90680885315669,367.0,12278.249105453498
2024-01-02,2,0.0,0,0,0,-0.01,0.0,33.23235321044922,-0.07618188843832496,-0.01,12202.18043708802,0.0,12202.18043708802
2024-01-03,0,0.0,0,0,0,0.0,0.0,33.45936584472656,-0.06870416582930117,0.0,12202.18043708802,0.0,12202.18043708802
2024-01-04,0,0.0,0,0,0,0.0,0.0,33.094173431396484,-0.09906578825125278,0.0,12202.18043708802,0.0,12202.18043708802
2024-01-05,0,0.0,0,0,0,0.0,0.0,33.36066436767578,-0.08211319096470826,0.0,12202.18043708802,0.0,12202.18043708802
2024-01-08,0,0.0,0,0,0,0.0,0.0,33.982479095458984,-0.019027459479811715,0.0,12202.18043708802,0.0,12202.18043708802
2024-01-09,1,-0.015597133362480892,0,0,0,-0.01,0.0,33.71598815917969,-0.026154377851553723,-0.025597133362480894,30.708711624152784,361.0,12202.18043708802
2024-01-10,0,-0.000890279718429063,0,0,0,0.0,0.0,33.19287872314453,-0.0793626230078156,-0.000890279718429063,30.708711624152784,361.0,12013.337930679329
2024-01-11,0,-0.013448563655112641,0,0,0,0.0,0.0,33.163265228271484,-0.0963475676224323,-0.013448563655112641,30.708711624152784,361.0,12002.647459030159
2024-01-12,0,-0.01058655118100865,0,0,0,0.0,0.0,32.7191162109375,-0.13093423096928478,-0.01058655118100865,30.708711624152784,361.0,11842.30966377259
2024-01-16,0,-0.020894214984785883,0,0,0,0.0,0.0,32.37366485595703,-0.15517784805221685,-0.020894214984785883,30.708711624152784,361.0,11717.601724624641
2024-01-17,0,-0.009985704483346425,0,0,0,0.0,0.0,31.70250129699707,-0.19665269605742308,-0.009985704483346425,30.708711624152784,361.0,11475.311679840095
2024-01-18,0,-0.0021977135526225285,0,0,0,0.0,0.0,31.386659622192383,-0.20334202210053193,-0.0021977135526225285,30.708711624152784,361.0,11361.292835235603
2024-01-19,0,0.015283641398598353,0,0,0,0.0,0.0,31.317569732666016,-0.17158162201412197,0.015283641398598353,30.708711624152784,361.0,11336.351385116584
2024-01-22,0,0.010162873916637234,0,0,0,0.0,2.0,31.80120277404785,-0.08122315749920805,0.010162873916637234,30.708711624152784,361.0,11510.942913055427
2024-01-23,0,0.006718475921487284,0,0,0,0.0,0.0,32.12691116333008,0.0022231776108636025,0.006718475921487284,30.708711624152784,361.0,11628.523641586311
2024-01-24,0,0.006371070140898923,0,0,0,0.0,0.0,32.34405517578125,0.05880226776104708,0.006371070140898923,30.708711624152784,361.0,11706.912630081184
2024-01-25,0,0.012323129141178104,0,0,0,0.0,0.0,32.55132293701172,0.09354404215743803,0.012323129141178104,30.708711624152784,361.0,11781.736291885383
2024-01-26,0,0.001194112317313871,0,0,0,0.0,0.0,32.95599365234375,0.12941760992616513,0.001194112317313871,30.708711624152784,361.0,11927.822420120247
2024-01-29,0,0.005356216535758774,0,0,0,0.0,0.0,32.9954719543457,0.1258491911726397,0.005356216535758774,30.708711624152784,361.0,11942.074087142952
2024-01-30,0,0.034419566681670656,0,0,0,0.0,0.0,33.173133850097656,0.1182223656526396,0.034419566681670656,30.708711624152784,361.0,12006.210031509407
2024-01-31,0,-0.02261865238389436,0,0,0,0.0,0.0,34.33779525756836,0.19314420950969702,-0.02261865238389436,30.708711624152784,361.0,12426.65279960633
2024-02-01,0,-0.013583095735135277,0,0,0,0.0,0.0,33.56793594360352,0.11596526612610353,-0.013583095735135277,30.708711624152784,361.0,12148.733587265024
2024-02-02,0,-0.0023812318068267236,0,0,0,0.0,-2.0,33.113914489746094,0.02195177847708152,-0.0023812318068267236,30.708711624152784,361.0,11984.831842422493
2024-02-05,0,-0.014407592669839502,0,0,0,0.0,0.0,33.03495407104492,-0.029572080204421536,-0.014407592669839502,30.708711624152784,361.0,11956.32713127137
2024-02-06,0,0.001510423069826224,0,0,0,0.0,0.0,32.56119537353516,-0.08959128233531402,0.001510423069826224,30.708711624152784,361.0,11785.300241470346
2024-02-07,0,0.0042174596291421305,0,0,0,0.0,0.0,32.61054229736328,-0.09565192462641005,0.0042174596291421305,30.708711624152784,361.0,11803.114480972297
2024-02-08,0,-0.0018053550236059954,0,0,0,0.0,0.0,32.74872589111328,-0.07162637747563891,-0.0018053550236059954,30.708711624152784,361.0,11852.998758316047
2024-02-09,0,-0.0015068979864695012,0,0,0,0.0,0.0,32.68950271606445,-0.056614722813606265,-0.0015068979864695012,30.708711624152784,361.0,11831.61919212342
2024-02-12,0,0.016452059692925684,0,0,0,0.0,2.0,32.64015197753906,-0.04583973374695362,0.016452059692925684,30.708711624152784,361.0,11813.803575515754
2024-02-13,0,-0.02615025945624085,0,0,0,0.0,-2.0,33.18300247192383,0.012952338599631246,-0.02615025945624085,30.708711624152784,361.0,12009.772603988655
2024-02-14,0,0.011506158506806327,0,0,0,0.0,0.0,32.324310302734375,-0.04151893181913862,0.011506158506806327,30.708711624152784,361.0,11699.784730911262
2024-02-15,0,0.027906490464515148,0,0,0,0.0,2.0,32.699371337890625,-0.021386414204933195,0.027906490464515148,30.708711624152784,361.0,11835.181764602668
2024-02-16,0,0.000585404345511442,0,0,0,0.0,0.0,33.62715530395508,0.07026135791472396,0.000585404345511442,30.708711624152784,361.0,12170.111776351936
2024-02-20,0,-0.00381121159875827,0,0,0,0.0,0.0,33.64689636230469,0.0927414746815401,-0.00381121159875827,30.708711624152784,361.0,12177.238298416145
2024-02-21,0,-0.007665820385351554,0,0,0,0.0,0.0,33.51858139038086,0.07157115612605564,-0.007665820385351554,30.708711624152784,361.0,12130.916593551643
2024-02-22,0,-0.0026674453442754546,0,0,0,0.0,-2.0,33.261966705322266,0.02600237323221158,-0.0026674453442754546,30.708711624152784,361.0,12038.27869224549
2024-02-23,0,0.009157753140710389,0,0,0,0.0,2.0,33.173133850097656,-0.006388558272002159,0.009157753140710389,30.708711624152784,361.0,12006.210031509407
2024-02-26,0,-0.009157753140710323,0,0,0,0.0,-2.0,33.479103088378906,0.005822982909352403,-0.009157753140710323,30.708711624152784,361.0,12116.664926528938
2024-02-27,0,0.019688511791389494,0,0,0,0.0,2.0,33.173133850097656,-0.020320925744920587,0.019688511791389494,30.708711624152784,361.0,12006.210031509407
2024-02-28,0,0.0008726715256870246,0,0,0,0.0,0.0,33.83442687988281,0.027380605714910577,0.0008726715256870246,30.708711624152784,361.0,12244.936815261848
2024-02-29,0,0.013088783769258556,0,0,0,0.0,0.0,33.86404037475586,0.03905123746055378,0.013088783769258556,30.708711624152784,361.0,12255.627286911018
2024-03-01,0,-0.004924600206948169,0,0,0,0.0,0.0,34.31131362915039,0.07055191503893993,-0.004924600206948169,30.708711624152784,361.0,12417.092931747444
