Agent_Assets,Buy_and_Hold_Assets,Total_Trades,Winning_Trades,Losing_Trades,Stock
13950.620910644531,17799.21608809766,12,6,6,CTAS
13695.9122467041,16477.40117620228,13,5,8,WELL
13183.965198516846,11176.361897810892,16,7,9,VZ
14541.059341430664,18219.79800396889,14,6,8,AMZN
14176.317123413088,13665.6151388917,16,6,10,CAT
13342.821670532225,16084.594094098007,16,7,9,AAPL
16545.789016723633,22012.78086959214,14,6,8,PANW
13657.178787231443,12379.304786289164,17,6,11,PM
8796.093551635744,10318.068447993826,16,3,13,CMCSA
16368.008712768567,29117.16405978949,12,5,7,ANET
12389.852735519407,13862.09820262457,12,5,7,IBN
11263.064472198492,6858.727778306296,18,7,11,PFE
14556.820921897888,15563.14034646695,16,8,8,SMFG
9661.79399871826,12382.633249076853,19,5,14,INFY
11750.484085083011,13033.028121334502,16,5,11,MAR
12782.570373535158,13584.330414986516,16,6,10,SPGI
11425.695251464838,13564.289297704956,15,6,9,SYK
11322.847427368164,13087.81649421392,12,4,8,MMC
11224.437637329102,10489.236427710855,15,5,10,PEP
11316.639587402344,15718.499077185525,14,6,8,SNPS
9444.579902648924,10211.247620897531,16,5,11,PLD
13446.876289367676,14606.591987762273,13,4,9,MMM
10614.241987228392,13135.343861412812,16,4,12,CNQ
14127.174880981443,15039.73109379518,14,6,8,NXPI
12400.961029052733,10577.64225768115,17,4,13,AMT
13297.369400024414,13619.531031986064,14,6,8,ADI
10217.509338378904,7767.094892155042,19,3,16,UPS
11191.614562988285,12710.77076289028,16,5,11,CME
11281.21615600586,9321.304738914574,12,4,8,GILD
10606.11666870117,11329.094277871574,14,5,9,MS
13019.067359924318,10519.372837417057,17,7,10,BP
13976.42834854126,15869.882379994911,12,5,7,WMT
8692.663757324219,8727.32364457288,15,3,12,CVX
13406.705505371092,14787.56285785206,14,7,7,TRI
12172.467332839964,14979.05520017206,14,5,9,UBS
11482.352920532228,7221.212712844732,19,4,15,DEO
13743.574535369871,13020.91353508226,15,7,8,MO
12947.00114440918,12072.889309918191,14,7,7,TXN
11432.677978515623,19747.61479324531,12,6,6,KLAC
6632.223178863528,7287.253792163614,11,3,8,INTC
11564.712127685549,12680.28584758615,12,5,7,EPD
11731.6788520813,11643.457416351526,17,6,11,TTE
14666.93977355957,19156.440970143456,12,5,7,SAP
15172.131851196287,14930.609883912472,12,5,7,HCA
