Agent_Assets,Buy_and_Hold_Assets,Total_Trades,Winning_Trades,Losing_Trades,Stock
13758.869720458984,17799.21608809766,15,6,9,CTAS
10363.892181396486,16477.40117620228,46,13,33,WELL
9746.216651916504,11176.361897810892,14,4,10,VZ
18100.331352233883,18219.79800396889,39,13,26,AMZN
13093.837387084965,13665.6151388917,18,4,14,CAT
14246.183746337878,16084.594094098007,28,8,20,AAPL
17460.86901855468,22012.78086959214,32,11,21,PANW
9133.83670806885,12379.304786289164,25,6,19,PM
9044.870868682858,10318.068447993826,28,8,20,CMCSA
23684.178604125987,29117.16405978949,18,10,8,ANET
12633.90880393982,13862.09820262457,14,6,8,IBN
10107.257043838506,6858.727778306296,14,5,9,PFE
16766.940117836,15563.14034646695,14,8,6,SMFG
10769.40994262695,12382.633249076853,21,5,16,INFY
15603.85437011719,13033.028121334502,43,15,28,MAR
11612.407928466797,13584.330414986516,22,8,14,SPGI
11036.8828125,13564.289297704956,15,6,9,SYK
13271.346359252935,13087.81649421392,16,6,10,MMC
12208.781936645506,10489.236427710855,21,7,14,PEP
13627.330810546877,15718.499077185525,20,8,12,SNPS
10831.381057739263,10211.247620897531,27,11,16,PLD
11578.182540893557,14606.591987762273,15,5,10,MMM
10588.281957626345,13135.343861412812,18,4,14,CNQ
14182.665252685543,15039.73109379518,28,9,19,NXPI
11550.33946228027,10577.64225768115,20,5,15,AMT
13860.672378540045,13619.531031986064,16,6,10,ADI
8187.679138183592,7767.094892155042,18,2,16,UPS
10875.035675048835,12710.77076289028,20,7,13,CME
10385.68409729004,9321.304738914574,14,3,11,GILD
11778.753875732416,11329.094277871574,24,8,16,MS
13901.773548126226,10519.372837417057,23,8,15,BP
12750.806873321531,15869.882379994911,10,4,6,WMT
8825.876327514648,8727.32364457288,19,5,14,CVX
11851.95922088623,14787.56285785206,10,5,5,TRI
11696.669572830202,14979.05520017206,31,9,22,UBS
11543.51176452637,7221.212712844732,19,7,12,DEO
