Agent_Assets,Buy_and_Hold_Assets,Total_Trades,Winning_Trades,Losing_Trades,Stock
14687.696105957031,17799.21608809766,16,8,8,CTAS
11570.59802246094,16477.40117620228,26,8,18,WELL
11607.893949508663,11176.361897810892,18,5,13,VZ
15584.93748474121,18219.79800396889,13,4,9,AMZN
14602.916488647466,13665.6151388917,20,7,13,CAT
14338.461853027342,16084.594094098007,13,5,8,AAPL
18581.248855590817,22012.78086959214,19,7,12,PANW
14448.393058776855,12379.304786289164,14,6,8,PM
8837.097301483158,10318.068447993826,17,3,14,CMCSA
17504.309066772475,29117.16405978949,22,6,16,ANET
13239.104637145994,13862.09820262457,12,5,7,IBN
10486.169288635256,6858.727778306296,14,5,9,PFE
18823.77781820298,15563.14034646695,25,10,15,SMFG
9178.335578918455,12382.633249076853,15,5,10,INFY
11761.75312805176,13033.028121334502,17,4,13,MAR
11977.66082763672,13584.330414986516,14,6,8,SPGI
11954.829040527342,13564.289297704956,16,6,10,SYK
12863.158447265623,13087.81649421392,14,5,9,MMC
11912.22784423828,10489.236427710855,16,6,10,PEP
11098.879486083984,15718.499077185525,13,5,8,SNPS
10572.503280639648,10211.247620897531,13,4,9,PLD
13277.601509094238,14606.591987762273,13,4,9,MMM
11029.958347320557,13135.343861412812,21,4,17,CNQ
11924.68957519531,15039.73109379518,20,5,15,NXPI
13949.617355346682,10577.64225768115,12,5,7,AMT
14122.214035034183,13619.531031986064,19,6,13,ADI
9296.684616088864,7767.094892155042,22,6,16,UPS
11765.451919555668,12710.77076289028,27,10,17,CME
9302.91767501831,9321.304738914574,20,6,14,GILD
12886.234199523922,11329.094277871574,12,6,6,MS
10854.15337753296,10519.372837417057,22,9,13,BP
15054.485347747805,15869.882379994911,14,6,8,WMT
9959.930770874023,8727.32364457288,19,4,15,CVX
13536.363265991213,14787.56285785206,11,5,6,TRI
12867.225074768074,14979.05520017206,22,5,17,UBS
10573.638122558594,7221.212712844732,17,7,10,DEO
13609.226291656492,13020.91353508226,18,6,12,MO
11649.61378479004,12072.889309918191,18,7,11,TXN
15507.473266601562,19747.61479324531,16,5,11,KLAC
9832.609743118288,7287.253792163614,17,5,12,INTC
12469.442668914791,12680.28584758615,27,11,16,EPD
12550.085014343264,11643.457416351526,17,7,10,TTE
11475.188308715817,19156.440970143456,20,7,13,SAP
12588.404327392578,14930.609883912472,18,6,12,HCA
15585.831665039066,15075.916559255864,20,10,10,GS
12094.287002563477,13437.034742204216,21,7,14,TMUS
12619.930236816406,12102.120602847455,22,7,15,BLK
17002.690109252933,15398.948190439529,23,8,15,CDNS
12109.275451660154,12058.525486443894,16,5,11,LOW
13975.778961181644,14278.70544736118,16,8,8,LIN
10937.84228515625,12371.45029368411,14,3,11,MA
15465.608421325684,15967.590062004738,26,12,14,BX
13050.541793823248,14579.908791601718,12,7,5,SHW
16176.673622131351,17702.027412103387,27,10,17,MU
11671.07501220703,9197.297450642693,18,6,12,APD
9938.11544799805,11881.836836213775,16,4,12,HD
11680.06469726562,12663.798669099511,19,6,13,UNP
15494.49562072754,18478.78763918409,17,6,11,AMAT
17819.867889404297,26756.164312236782,13,6,7,LLY
13807.652177810673,16193.28743945656,21,9,12,RELX
15584.521316528318,16594.35532763585,14,5,9,MSI
10326.180114746092,15911.25057674921,21,6,15,REGN
12313.993637084965,16677.64258072924,22,9,13,RSG
13005.451171875,17494.250557885636,11,3,8,MELI
11517.637725830073,12846.701043822368,14,5,9,LMT
11032.65533447266,11208.008593796914,18,4,14,CI
12006.023220062254,8212.877574489585,19,5,14,SLB
15531.026542663572,12843.914122230182,19,7,12,WFC
11266.447807312015,10893.752571910396,11,4,7,MRK
11047.624877929688,9840.789932453625,18,6,12,JNJ
9451.415969848633,7162.599203259911,16,5,11,BABA
9513.527210235596,7930.611460500442,16,5,11,BHP
11649.048377990724,13601.681962347266,15,4,11,QCOM
12883.877637863168,11786.379531948129,21,5,16,BAC
10933.37112426758,14251.683823794883,16,4,12,BRK-B
9226.91241455078,9338.482233876844,18,3,15,BMO
12143.1916770935,15751.10926846473,22,4,18,SHOP
13674.89001464844,14963.650631924984,31,7,24,TSLA
12661.604507446287,16883.090414118087,15,4,11,CRM
13601.090332031252,18358.29951046669,18,8,10,COST
14477.501914978033,19393.857035352437,14,7,7,TSM
13387.18505859375,13466.972790144637,23,7,16,SHEL
10462.03021240234,11630.56818414697,16,5,11,DHR
14530.512695312502,17133.694432893364,13,5,8,GOOGL
11169.519882202148,13753.632385475836,14,6,8,WM
13714.664009094236,15026.053544222332,20,7,13,ICE
11078.17822265625,10540.35295816882,16,5,11,TMO
10582.034393310543,17642.15392032033,24,7,17,MSFT
12798.88190460205,9185.345218481452,15,6,9,TGT
15103.735595703123,37350.09147612787,13,6,7,META
14036.66976928711,16966.609239425277,14,6,8,BSX
12066.00933837891,11181.80073945903,16,6,10,ELV
11383.701095581057,13904.695167901691,14,4,10,ABBV
9857.79475402832,10559.51707609236,17,6,11,MCD
12513.080383300785,14680.789705862477,18,6,12,AJG
12035.533889770504,17554.249532006128,22,8,14,PGR
11177.704711914062,11863.120618315465,12,2,10,EQIX
15444.782836914062,18945.66984998897,17,7,10,TDG
14849.102020263672,18319.111397373526,20,8,12,NFLX
10798.018280029297,12253.471087510765,18,8,10,ACN
13089.481353759766,12498.80299675739,22,8,14,TM
