Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,128.61000061035156,129.5,127.19000244140625,128.5399932861328,119.506591796875,2247900
2020-01-03,126.2300033569336,128.27999877929688,126.12000274658203,127.30000305175781,118.3537368774414,1546100
2020-01-06,125.4000015258789,126.98999786376953,124.68000030517578,126.4000015258789,117.5169677734375,2157900
2020-01-07,127.5,129.77999877929688,127.0,128.0399932861328,119.04171752929688,2595500
2020-01-08,128.2100067138672,129.11000061035156,127.12999725341797,128.36000061035156,119.33924102783203,1589100
2020-01-09,129.8000030517578,130.9499969482422,128.69000244140625,129.17999267578125,120.10163116455078,2429600
2020-01-10,130.11000061035156,130.8300018310547,129.17999267578125,129.63999938964844,120.52928161621094,2294000
2020-01-13,131.0,132.50999450683594,130.14999389648438,131.97999572753906,122.70484161376953,2313900
2020-01-14,131.39999389648438,133.67999267578125,131.2899932861328,132.7100067138672,123.38351440429688,2499200
2020-01-15,132.4499969482422,132.91000366210938,131.55999755859375,132.5,123.18830871582031,2206200
2020-01-16,133.97999572753906,134.9600067138672,132.8000030517578,134.17999267578125,124.75019836425781,2495100
2020-01-17,134.99000549316406,135.47999572753906,132.47000122070312,133.83999633789062,124.4341049194336,2268300
2020-01-21,133.39999389648438,134.4499969482422,132.69000244140625,133.9600067138672,124.54569244384766,2018200
2020-01-22,134.52000427246094,136.3000030517578,133.47999572753906,134.63999938964844,125.17790985107422,2422000
2020-01-23,134.88999938964844,137.22000122070312,134.85000610351562,136.41000366210938,126.82353973388672,2534100
2020-01-24,137.49000549316406,137.9199981689453,134.5500030517578,135.27999877929688,125.77296447753906,2887600
2020-01-27,131.55999755859375,131.72999572753906,128.05999755859375,130.4499969482422,121.28235626220703,3781200
2020-01-28,132.5,133.64999389648438,131.24000549316406,132.67999267578125,123.35560607910156,2207500
2020-01-29,133.0500030517578,134.77000427246094,131.74000549316406,132.66000366210938,123.33706665039062,2273000
2020-01-30,130.80999755859375,132.00999450683594,128.85000610351562,131.6199951171875,122.3701171875,2039700
2020-01-31,130.02000427246094,130.97000122070312,126.05000305175781,126.86000061035156,117.94464111328125,4448500
2020-02-03,127.69000244140625,129.02999877929688,125.01000213623047,125.69999694824219,116.86616516113281,4205200
2020-02-04,133.0,134.5,127.75,130.50999450683594,121.338134765625,5560000
2020-02-05,133.39999389648438,136.83999633789062,132.42999267578125,134.22999572753906,124.79672241210938,4386700
2020-02-06,135.3699951171875,135.75,133.0500030517578,135.33999633789062,125.82869720458984,2082800
2020-02-07,134.49000549316406,134.86000061035156,132.0,132.25999450683594,122.96514892578125,2522400
2020-02-10,130.75,133.30999755859375,130.4600067138672,133.19000244140625,123.82979583740234,1769600
2020-02-11,134.1300048828125,137.16000366210938,133.7899932861328,135.52000427246094,125.99604797363281,2407000
2020-02-12,136.5800018310547,138.42999267578125,136.14999389648438,137.8300018310547,128.1437225341797,2592900
2020-02-13,136.8699951171875,139.25999450683594,135.97999572753906,138.69000244140625,128.9432830810547,1426200
2020-02-14,138.8800048828125,139.58999633789062,134.69000244140625,137.0800018310547,127.44640350341797,1846700
2020-02-18,134.41000366210938,135.49000549316406,132.61000061035156,133.8699951171875,124.46199798583984,1919900
2020-02-19,134.91000366210938,137.32000732421875,134.30999755859375,134.9499969482422,125.46611022949219,2028200
